epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,6618.7,1.42856,1.16,1.56857,0.59194,0.33786,0.31666,0.1138,2.14977,1.82589,2.24904,9.9081e-05,9.9081e-05,9.9081e-05
92,6963.54,1.36916,1.09785,1.51472,0.56365,0.36227,0.31628,0.11326,2.16625,1.81724,2.28902,9.00819e-05,9.00819e-05,9.00819e-05
93,7314.07,1.34827,1.08248,1.50261,0.56364,0.35345,0.31468,0.11398,2.16034,1.82678,2.28613,8.10828e-05,8.10828e-05,8.10828e-05
94,7752.5,1.34349,1.07653,1.49092,0.57948,0.35817,0.31834,0.11455,2.14982,1.83433,2.27526,7.20837e-05,7.20837e-05,7.20837e-05
95,8140.75,1.33063,1.07261,1.4848,0.59717,0.35487,0.32316,0.12177,2.16416,1.80686,2.28588,6.30846e-05,6.30846e-05,6.30846e-05
96,8491.17,1.3238,1.05415,1.47597,0.58672,0.35412,0.31901,0.12841,2.16631,1.8167,2.29039,5.40855e-05,5.40855e-05,5.40855e-05
97,8832.81,1.31453,1.04715,1.47844,0.58349,0.35004,0.315,0.12765,2.16836,1.83355,2.28476,4.50864e-05,4.50864e-05,4.50864e-05
98,9167.91,1.32059,1.05204,1.48897,0.58146,0.34851,0.31547,0.12844,2.18095,1.83827,2.29638,3.60873e-05,3.60873e-05,3.60873e-05
99,9523.66,1.3128,1.03498,1.47729,0.57316,0.35302,0.31396,0.12046,2.18272,1.83869,2.30345,2.70882e-05,2.70882e-05,2.70882e-05
100,9865.38,1.30329,1.04044,1.47441,0.58205,0.34768,0.31722,0.12146,2.18283,1.83632,2.30403,1.80891e-05,1.80891e-05,1.80891e-05
